"feature","team","label"
"[53,84,79,68]",32,"[1,0,0,0]"
"[52,89,79,87]",32,"[1,0,0,0]"
"[50,75,80,69]",32,"[1,0,0,0]"
"[54,78,76,75]",32,"[1,0,0,0]"
"[55,74,79,66]",32,"[1,0,0,0]"
"[57,85,77,73]",32,"[1,0,0,0]"
"[55,80,78,70]",32,"[1,0,0,0]"
"[50,74,79,69]",32,"[1,0,0,0]"
"[56,75,83,67]",32,"[1,0,0,0]"
"[53,75,86,68]",32,"[1,0,0,0]"
"[58,74,75,64]",32,"[1,0,0,0]"
"[59,74,61,82]",32,"[1,0,0,0]"
"[47,75,58,68]",32,"[1,0,0,0]"
"[54,82,85,68]",32,"[1,0,0,0]"
"[53,75,72,65]",32,"[1,0,0,0]"
"[52,79,67,66]",32,"[1,0,0,0]"
"[50,76,66,63]",32,"[1,0,0,0]"
"[53,84,54,70]",32,"[1,0,0,0]"
"[54,82,74,66]",32,"[1,0,0,0]"
"[54,74,67,64]",32,"[1,0,0,0]"
"[53,75,79,71]",32,"[1,0,0,0]"
"[58,75,79,71]",32,"[1,0,0,0]"
"[45,80,77,61]",32,"[1,0,0,0]"
"[44,71,77,68]",32,"[1,0,0,0]"
"[52,79,77,65]",32,"[1,0,0,0]"
"[51,80,75,61]",32,"[1,0,0,0]"
"[54,74,78,70]",32,"[1,0,0,0]"
"[50,79,77,63]",32,"[1,0,0,0]"
"[45,81,78,60]",32,"[1,0,0,0]"
"[57,77,79,70]",32,"[1,0,0,0]"
"[48,75,78,57]",32,"[1,0,0,0]"
"[48,74,77,69]",32,"[1,0,0,0]"
"[47,77,76,59]",32,"[1,0,0,0]"
"[49,74,79,62]",32,"[1,0,0,0]"
"[47,82,79,63]",32,"[1,0,0,0]"
"[48,72,79,68]",32,"[1,0,0,0]"
"[44,74,78,64]",32,"[1,0,0,0]"
"[46,75,77,60]",32,"[1,0,0,0]"
"[44,76,76,75]",32,"[1,0,0,0]"
"[47,90,78,61]",32,"[1,0,0,0]"
"[48,80,77,64]",32,"[1,0,0,0]"
"[48,80,76,69]",32,"[1,0,0,0]"
"[47,77,79,70]",32,"[1,0,0,0]"
"[43,79,80,59]",32,"[1,0,0,0]"
