"mac_addr","rssi","team","label"
"80:E1:26:00:5F:6A",-51,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-53,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-55,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-53,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-51,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-54,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-55,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-54,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-52,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-57,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-54,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-45,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-45,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-44,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-46,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-43,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-46,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-44,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-44,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-46,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-45,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-45,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-46,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-47,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-44,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-45,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-47,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-45,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-47,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-44,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-54,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-51,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-52,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-49,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-64,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-51,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-60,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-57,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-60,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-49,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-54,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-63,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-61,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-65,32,"[1,0,0,0]"
"80:E1:25:00:D9:D7",-83,29,"[0,0,0,1]"
"80:E1:26:00:5F:6A",-57,32,"[1,0,0,0]"
"80:E1:25:00:D9:D7",-75,29,"[0,0,0,1]"
"80:E1:26:00:5F:6A",-58,32,"[1,0,0,0]"
"80:E1:25:00:D9:D7",-78,29,"[0,0,0,1]"
"80:E1:26:00:5F:6A",-49,32,"[1,0,0,0]"
"80:E1:25:00:D9:D7",-76,29,"[0,0,0,1]"
"80:E1:26:00:5F:6A",-52,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-57,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-46,32,"[1,0,0,0]"
"80:E1:25:00:D9:D7",-76,29,"[0,0,0,1]"
"80:E1:26:00:5F:6A",-43,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-44,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-47,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-64,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-61,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-65,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-61,32,"[1,0,0,0]"
"80:E1:26:07:CD:59",-80,11,"[0,0,1,0]"
"80:E1:26:07:CD:59",-83,11,"[0,0,1,0]"
"80:E1:26:00:5F:6A",-70,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-63,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-65,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-63,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-63,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-44,32,"[1,0,0,0]"
"80:E1:26:07:CD:59",-80,11,"[0,0,1,0]"
"80:E1:26:00:5F:6A",-42,32,"[1,0,0,0]"
"80:E1:26:07:CD:59",-87,11,"[0,0,1,0]"
"80:E1:25:00:D9:D7",-75,29,"[0,0,0,1]"
"80:E1:26:00:5F:6A",-47,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-48,32,"[1,0,0,0]"
"80:E1:25:00:D9:D7",-77,29,"[0,0,0,1]"
"80:E1:26:07:CD:59",-76,11,"[0,0,1,0]"
"80:E1:26:00:5F:6A",-51,32,"[1,0,0,0]"
"80:E1:25:00:D9:D7",-83,29,"[0,0,0,1]"
"80:E1:25:00:D9:D7",-80,29,"[0,0,0,1]"
"80:E1:26:00:5F:6A",-64,32,"[1,0,0,0]"
"80:E1:26:07:CD:59",-83,11,"[0,0,1,0]"
"80:E1:26:00:5F:6A",-61,32,"[1,0,0,0]"
"80:E1:25:00:D9:D7",-61,29,"[0,0,0,1]"
"80:E1:26:00:5F:6A",-70,32,"[1,0,0,0]"
"80:E1:25:00:D9:D7",-64,29,"[0,0,0,1]"
"80:E1:26:00:5F:6A",-63,32,"[1,0,0,0]"
"80:E1:26:07:CD:59",-73,11,"[0,0,1,0]"
"80:E1:26:00:5F:6A",-60,32,"[1,0,0,0]"
"80:E1:26:07:CD:59",-83,11,"[0,0,1,0]"
"80:E1:26:00:5F:6A",-54,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-46,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-50,32,"[1,0,0,0]"
"80:E1:26:07:CD:59",-77,11,"[0,0,1,0]"
"80:E1:26:00:5F:6A",-52,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-48,32,"[1,0,0,0]"
"80:E1:26:07:CD:59",-85,11,"[0,0,1,0]"
"80:E1:26:00:5F:6A",-46,32,"[1,0,0,0]"
"80:E1:26:00:5F:6A",-52,32,"[1,0,0,0]"
"80:E1:26:07:CD:59",-84,11,"[0,0,1,0]"
"80:E1:26:00:5F:6A",-51,32,"[1,0,0,0]"
"80:E1:25:00:D9:D7",-85,29,"[0,0,0,1]"
"80:E1:26:07:CD:59",-89,11,"[0,0,1,0]"
"80:E1:26:00:5F:6A",-46,32,"[1,0,0,0]"
"80:E1:25:00:D9:D7",-79,29,"[0,0,0,1]"
"80:E1:26:07:CD:59",-93,11,"[0,0,1,0]"
"80:E1:25:00:D9:D7",-69,29,"[0,0,0,1]"
"80:E1:26:07:CD:59",-76,11,"[0,0,1,0]"
"80:E1:25:00:D9:D7",-57,29,"[0,0,0,1]"
"80:E1:26:07:CD:59",-82,11,"[0,0,1,0]"
"80:E1:25:00:D9:D7",-71,29,"[0,0,0,1]"
"80:E1:25:00:D9:D7",-68,29,"[0,0,0,1]"
"80:E1:26:07:CD:59",-76,11,"[0,0,1,0]"
"80:E1:25:00:D9:D7",-82,29,"[0,0,0,1]"
"80:E1:26:07:CD:59",-76,11,"[0,0,1,0]"
