"mac_addr","feature","team","label"
"80:E1:26:07:CD:59","[85,80,47,84]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[82,77,64,73]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[78,85,46,84]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[74,90,70,73]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[76,84,47,86]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[90,80,52,89]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[72,83,57,74]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[87,74,69,87]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[87,86,61,73]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[79,74,59,78]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[85,90,64,72]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[80,81,64,87]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[72,86,53,89]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[86,74,52,81]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[87,89,50,90]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[71,74,55,84]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[78,77,67,81]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[81,81,52,79]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[84,79,62,82]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[86,76,49,77]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[74,86,64,86]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[77,89,65,74]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[90,86,63,82]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[90,77,48,73]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[71,83,58,85]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[85,77,53,77]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[83,75,47,89]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[87,90,56,85]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[78,87,64,86]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[84,72,68,81]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[86,77,62,72]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[83,75,66,90]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[86,89,58,84]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[82,80,47,74]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[85,80,68,85]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[77,82,61,90]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[74,77,52,79]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[79,71,68,72]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[72,86,49,84]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[76,81,50,89]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[89,76,54,89]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[86,86,48,77]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[81,85,51,73]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[76,84,61,86]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[90,74,57,76]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[82,81,57,88]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[78,75,50,76]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[90,76,70,87]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[74,79,51,87]",11,"[0,0,1,0]"
"80:E1:26:07:CD:59","[88,90,65,80]",11,"[0,0,1,0]"
